# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 235, mean track length: 2
155 -1.1727485720121709 0.074123253020026245 7.1273415006429603 183 138 109 0.050693655051742476 6 980 40 1115
156 -1.2238109250450324 0.084662447842152502 7.1063815404773854 54 58 0 1.8756424718342675 6 984 40 1120
157 -1.2238109250450324 0.084662447842152502 7.1063815404773854 54 58 0 1.8756424718342675 6 983 40 1121
158 -1.2999715442571402 0.095366187739025665 7.0725703972534921 233 112 33 1.0988916026337712 6 1066 40 1123
159 -1.1410388150651973 0.086174943995557279 7.1486449308190529 211 128 86 0.37200210880329176 6 1068 40 1126
160 -1.3060000588724101 0.10606635322825136 7.0768688786015712 193 131 108 0.84709422713820415 6 991 40 1131
161 -1.1584863425931731 0.12399965589502054 7.1348012682713238 191 112 45 1.228560102069447 6 1000 40 1138
162 -1.1470864003420507 0.16994452835114757 7.1412110330959848 173 86 19 0.11242183978535503 6 1009 40 1146
165 -1.2326196344286018 -0.02972781242242321 7.079322656231386 140 103 59 1.2827893577086811 6 1020 40 1159
166 -1.2625295558307847 -0.021417019694506396 7.0733142570496046 200 219 252 0.28566103979754143 6 1022 40 1160
167 -1.2766638847182934 -0.014364366287754159 7.0700357170177961 210 223 255 0.76116755687752868 6 1023 40 1161
168 -1.2626018682801194 -0.015487486745769427 7.0729635063077003 224 243 248 0.202704795345997 6 917 40 1162
169 -1.2735954346792984 -0.011871693739215067 7.0730592801527532 182 201 252 0.99913363507657316 6 1024 40 1163
170 -1.267207810937425 -0.012624870470607593 7.0723552361284439 182 203 248 0.25068824084168551 6 1025 40 1164
171 -1.2449390316040156 -0.011958966974617256 7.0793192752437317 71 126 141 0.12674162901214742 6 924 40 1165
172 -1.2164009929332604 -0.011423045982793645 7.0852806252085463 132 164 202 0.54157243976924474 6 1026 40 1166
173 -1.24484591185519 -0.008520816204174237 7.079029591891377 83 114 157 0.97263808346302949 6 1027 40 1167
174 -1.2608493872258688 -0.0040673754134102416 7.0737972602858443 85 114 134 0.042275792968411524 6 1028 40 1169
175 -1.2818934444261236 0.00082111517927756228 7.0701298170486444 47 48 52 0.13432222057843585 6 1030 40 1170
176 -1.2258796293168064 -0.0037278391994809215 7.0837936771128813 59 75 100 0.5064466287687539 6 1031 40 1171
177 -1.2496298886220758 -0.0017768416162414133 7.0786971692749319 164 191 218 0.24896336952076603 6 935 40 1172
178 -1.2795117376632412 0.0077669825236368201 7.0710793638174305 140 170 198 0.026710693406376048 6 1036 40 1176
179 -1.2806812073588456 0.025494762982655551 7.0717983984029011 130 162 187 0.47243686037380339 6 1046 40 1182
180 -1.2839892619177262 0.028896258691714811 7.071055336436264 32 39 41 0.15989142026768721 6 1048 40 1185
181 -1.2878631735640358 0.066117715072158134 7.0735617610067303 60 59 56 1.7181928176697077 6 959 40 1192
182 -1.1495574180110872 0.065951956859025343 7.1407629412296432 145 63 7 0.18700939989749138 6 1057 40 1195
183 -1.3109140730164714 0.084118566594825542 7.0646024163888406 217 144 138 0.52003615324633212 6 1059 40 1196
184 -1.3185669252395427 0.088338994621867964 7.0674609693427923 190 107 103 0.44059789910096681 6 1060 40 1197
185 -1.3090699162294552 0.088584441249356383 7.0636878928984377 187 118 111 0.76105555440863404 6 1061 40 1198
186 -1.1616955747976352 0.12554994924050317 7.1321717654516625 167 62 7 0.32178334556411914 6 1128 40 1203
187 -1.160681644874749 0.13279190607227365 7.1313859962896222 193 95 6 0.44048700402419938 6 1075 40 1204
188 -1.1388375468948586 0.1608520726675646 7.1469895353593405 181 101 38 0.64974351869229552 6 1080 40 1208
189 -1.1442202207561791 0.16166057589588431 7.1433429393176926 168 90 28 0.25995098832736313 6 1078 40 1209
190 -1.1442202207561791 0.16166057589588431 7.1433429393176926 168 90 28 0.25995098832736313 6 1079 40 1210
192 -1.3137190728700867 -0.030068578592907944 7.056119893515155 140 102 65 0.32781931072569531 6 1088 40 1214
194 -1.2769650602980391 -0.023350323196230514 7.0679285776954055 42 38 55 0.034600466882491916 6 1089 40 1216
195 -1.2758244825108898 -0.019657318215265847 7.0696438100678582 180 204 255 0.32010117200190458 6 1091 40 1217
196 -1.2354749995337946 -0.013913165069516053 7.0808253957837044 65 96 116 0.088255916974321752 6 1092 40 1218
197 -1.2766663427404694 -0.0082475120001700361 7.0694292278866619 219 246 255 0.62196994647751236 6 1093 40 1219
198 -1.2498758154132001 -0.0090400282049630382 7.0766599659728282 186 206 255 0.026477394814668233 6 1097 40 1220
199 -1.2699042025230536 -0.003271457758059159 7.0715786379152847 79 108 138 0.14651106265227812 6 1098 40 1222
200 -1.236866931317425 -0.0047500332063632363 7.0818259562530654 152 186 214 0.038639796175722302 6 1100 40 1223
201 -1.236866931317425 -0.0047500332063632363 7.0818259562530654 152 186 214 0.038639796175722302 6 1101 40 1224
202 -1.2440493515864477 -0.00021040080442384992 7.0808640442772637 64 93 119 0.18755974631543759 6 1102 40 1225
203 -1.2653613564909929 0.0029390415583782775 7.0744925748556389 66 87 106 0.40577770338123237 6 1033 40 1226
204 -1.2681199839045341 0.0094854427948950978 7.0743297735354247 186 208 185 0.21040652883442057 6 1103 40 1227
205 -1.2630117574342403 0.010752263384044419 7.0767951846783239 61 73 89 0.67590349783009884 6 1104 40 1228
206 -1.2628910574308112 0.019435629214847705 7.0764793980572573 58 71 88 0.60591507784454535 6 1106 40 1229
207 -1.2510726439399864 0.019491290119246635 7.0803670343221583 59 71 87 0.90724114712514048 6 1150 40 1230
208 -1.3332309616036329 0.034542760169623168 7.0515587318884991 138 100 63 0.17425962219602584 6 1107 40 1231
209 -1.3280500755182201 0.095417552999493935 7.0712384959407091 231 194 175 0.56962128620178265 6 1064 40 1238
210 -1.3360031007320785 0.09739520402343016 7.069526865230757 195 157 136 0.56281328409273945 6 1065 40 1240
211 -1.1791536974250678 0.086337336834092421 7.1238282637697097 127 78 43 0.033829906889058639 6 1119 40 1241
212 -1.1449720856629491 0.086104055656496217 7.1414906388053643 205 146 104 0.40980039404860125 6 1121 40 1243
213 -1.3325148197610144 0.11035057554366762 7.0739462766617205 178 137 115 1.1280549745712865 6 1170 40 1247
214 -1.3293821264112449 0.11646017897986444 7.0706490640151074 111 60 33 0.86021072657788777 6 1124 40 1251
215 -1.1917208618607125 0.15040554285363192 7.1183780461862254 194 94 8 3.3602289529278826 6 1129 40 1254
216 -1.1917208618607125 0.15040554285363192 7.1183780461862254 194 94 8 3.3602289529278826 6 1130 40 1255
217 -1.1533017262829126 0.1663479340912655 7.1340062503740826 197 135 84 0.47445788358626645 6 1082 40 1257
218 -1.1429909152894262 0.1672586621527411 7.1451271971639612 199 147 92 0.64701614175904965 6 1134 40 1258
219 -1.2258678476707745 -0.017788966361819682 7.0824095804999834 244 247 240 0.61977696839778507 6 1142 40 1265
220 -1.2258678476707745 -0.017788966361819682 7.0824095804999834 244 247 240 0.61977696839778507 6 1143 40 1266
221 -1.2741277309370325 0.01256758738695303 7.0720978717598308 94 118 144 0.57106077973982916 6 1147 40 1268
222 -1.2791026220496124 0.018219257337027762 7.0717303089380792 146 187 219 0.5408701100228982 6 1148 40 1269
223 -1.2688616411456743 0.023947205644895636 7.0754172753600661 155 202 237 0.57133743343469812 6 1152 40 1272
224 -1.2799549342737102 0.035259206188973727 7.0731912479332024 148 186 222 0.64549776132475623 6 1156 40 1276
225 -1.3114762653276033 0.078066949126324711 7.0611140938897687 201 70 8 0.88046977121999426 6 1161 40 1285
226 -1.1687849168839628 0.07974274300515001 7.1286582413826549 136 66 0 0.051096761656338696 6 1165 40 1288
227 -1.1636772047669786 0.1750901269932757 7.1275905526152821 127 68 8 1.731372846070943 6 1176 40 1297
228 -1.2269563051058641 -0.02544770144466163 7.0819066051102828 57 60 69 0.76387958936984102 6 1180 40 1300
229 -1.3107055383475479 0.05313007161459346 7.0585866345647252 122 86 54 1.3220448366229807 6 1185 40 1306
230 -1.3244578307260733 0.072263120129630307 7.0552252590203892 117 79 56 1.3600773951731311 6 1187 40 1309
231 -1.319267320655934 0.077439211651468443 7.0586592147792349 224 218 222 1.63625598410241 6 1188 40 1311
232 -1.319267320655934 0.077439211651468443 7.0586592147792349 224 218 222 1.63625598410241 6 1189 40 1312
